entity_in_kg,external_source_uri
Actor,https://www.wikidata.org/entity/Q33999
Actor,http://dbpedia.org/resource/Agent_(grammar)
ArtificialAgent,https://www.wikidata.org/entity/Q1142726
ArtificialAgent,http://dbpedia.org/resource/Intelligent_agent
Human,http://dbpedia.org/resource/Human
Human,https://www.wikidata.org/entity/Q5
Worker,http://dbpedia.org/resource/Worker
Worker,https://www.wikidata.org/entity/Q327055
Capability,http://dbpedia.org/resource/Capability
Context,http://dbpedia.org/resource/Context_(language_use)
Domain,http://dbpedia.org/resource/Knowledge_domain
Endgoal,http://dbpedia.org/resource/Goal
EthicalConsideration,http://dbpedia.org/resource/Ethics
Scenario,http://dbpedia.org/resource/Scenario
Interaction,http://dbpedia.org/resource/Interaction
InteractionMethod,http://dbpedia.org/resource/User_interface
InteractionTask,http://dbpedia.org/resource/Task_(project_management)
InformationProcessing,http://dbpedia.org/resource/Information_processing
ProcessingMethod,http://dbpedia.org/resource/Methodology
ProcessingTask,http://dbpedia.org/resource/Information_processing
Healthcare,http://dbpedia.org/resource/Health_care
Healthcare,https://www.wikidata.org/entity/Q31207
ExplainableAI,http://dbpedia.org/resource/Explainable_artificial_intelligence
DecisionSupportSystem,http://dbpedia.org/resource/Decision_support_system
WarehouseAutomation,http://dbpedia.org/resource/Automation
AutonomousDriving,http://dbpedia.org/resource/Self-driving_car
ReinforcementLearning,http://dbpedia.org/resource/Reinforcement_learning
BDI,http://dbpedia.org/resource/Belief-desire-intention_software_model
Robot,http://dbpedia.org/resource/Robot
AutonomousVehicle,http://dbpedia.org/resource/Autonomous_car
AGV_system,http://dbpedia.org/resource/Automated_guided_vehicle
Doctor,http://dbpedia.org/resource/Physician
Caregiver,http://dbpedia.org/resource/Caregiver
Passenger,http://dbpedia.org/resource/Passenger
Teacher,http://dbpedia.org/resource/Teacher
Designer,http://dbpedia.org/resource/Designer
EndUser,http://dbpedia.org/resource/End_user
Adult,http://dbpedia.org/resource/Adult
Child,http://dbpedia.org/resource/Child
Transparency,http://dbpedia.org/resource/Transparency_(behavior)
Safety,http://dbpedia.org/resource/Safety
Privacy,http://dbpedia.org/resource/Privacy
Responsibility,http://dbpedia.org/resource/Responsibility
PatientSafety,http://dbpedia.org/resource/Patient_safety
Reasoning,http://dbpedia.org/resource/Reason
Learning,http://dbpedia.org/resource/Learning
Recommendation,http://dbpedia.org/resource/Recommender_system
Communication,http://dbpedia.org/resource/Communication
Question-Answering,http://dbpedia.org/resource/Question_answering
EndUserInteractionWithAI,http://dbpedia.org/resource/Human-computer_interaction
AutonomousVehicleBeliefCommunication,http://dbpedia.org/resource/Self-driving_car
HybridMoralDecisionMaking,http://dbpedia.org/resource/Morality
FaceMatchingDecisionSupport,http://dbpedia.org/resource/Decision_support_system
WarehouseAVGscenario,http://dbpedia.org/resource/Warehouse
HILO_LegalDesk_Scenario,http://dbpedia.org/resource/Legal_technology
HI_EmergencyAntibioticsScenario,http://dbpedia.org/resource/Emergency_medicine
HI_DiagnosisAdjudicationScenario,http://dbpedia.org/resource/Medical_diagnosis
TrustLevel,http://dbpedia.org/resource/Trust_(social_sciences)
TrustLevel,https://www.wikidata.org/entity/Q1065653
HighTrust,http://dbpedia.org/resource/Trust_(social_sciences)
MediumTrust,http://dbpedia.org/resource/Trust_(social_sciences)
LowTrust,http://dbpedia.org/resource/Trust_(social_sciences)
AutonomyLevel,http://dbpedia.org/resource/Autonomy
AutonomyLevel,https://www.wikidata.org/entity/Q621448
LowAutonomy,http://dbpedia.org/resource/Autonomy
SemiAutonomous,http://dbpedia.org/resource/Autonomy
HighAutonomy,http://dbpedia.org/resource/Autonomy
ControlMode,https://en.wikipedia.org/wiki/Human-in-the-loop
HumanInTheLoop,https://en.wikipedia.org/wiki/Human-in-the-loop
HumanOnTheLoop,https://en.wikipedia.org/wiki/Human-in-the-loop
HumanOutOfTheLoop,https://en.wikipedia.org/wiki/Human-in-the-loop
OutcomeExplanation,https://en.wikipedia.org/wiki/Explainable_artificial_intelligence
ProcessExplanation,https://en.wikipedia.org/wiki/Explainable_artificial_intelligence
ExplanationType,https://en.wikipedia.org/wiki/Explainable_artificial_intelligence
CoordinationPattern,http://dbpedia.org/resource/Coordination
SequentialCoordination,http://dbpedia.org/resource/Sequence
CollaborativeCoordination,http://dbpedia.org/resource/Collaboration
ArtificialAgent,http://dbpedia.org/resource/Software_agent
ArtificialAgent,https://www.wikidata.org/entity/Q205663
Human,http://dbpedia.org/resource/Person
Worker,http://dbpedia.org/resource/Labour_economics
Interaction,http://dbpedia.org/resource/Human-computer_interaction
InteractionMethod,http://dbpedia.org/resource/Interaction_design
InteractionTask,http://dbpedia.org/resource/Human-computer_interaction
InformationProcessing,http://dbpedia.org/resource/Cognition
ProcessingMethod,http://dbpedia.org/resource/Artificial_intelligence
ProcessingTask,http://dbpedia.org/resource/Task_(project_management)
EthicalConsideration,http://dbpedia.org/resource/AI_ethics
Scenario,http://dbpedia.org/resource/Use_case
Capability,http://dbpedia.org/resource/Competence_(human_resources)
Healthcare,http://dbpedia.org/resource/Medicine
Healthcare,http://dbpedia.org/resource/Clinical_decision_support_system
WarehouseAutomation,http://dbpedia.org/resource/Warehouse
WarehouseAutomation,http://dbpedia.org/resource/Automated_guided_vehicle
